union,company,address,election_date,outcome,elig_voter,fst_votes,votes_no,challenged,latitude,longitude
SEIU,CHARLES YUN,"23505 WALNUT ST, TORRANCE, CA 905016030",11/10/83,Won,21,11,8,0,33.8124967,-118.3119253
IBT,"LOS ANGELES-YUMA FREIGHT LINES, INC","1036 S MAPLE AVE, MONTEBELLO, CA 906406006",11/10/83,Lost,27,4,21,1,33.9952369,-118.1241546
GCIU,DAILY NEWS,"14539 SYLVAN ST, VAN NUYS, CA 914112325",11/11/83,Won,53,27,24,1,34.1849335,-118.449889
CWA,PHAOSTRON INSTRUMENT & ELECTRONIC CO,"151 PASADENA AVE, SOUTH PASADENA, CA 910302917",11/18/83,Lost,70,6,59,0,34.1119428,-118.1723634
LDC,PARK CLEANERS,"217 S GARFIELD AVE, MONTEREY PARK, CA 917542996",11/18/83,Won,28,15,2,7,34.0606309,-118.1231945
IBT,"C.B.S., INC","4024 RADFORD AVE, STUDIO CITY, CA 916042190",11/29/83,Won,2,2,0,0,34.1446003,-118.392351
UFWA,CROWN DECORATIVE PRODUCTS MFG CORP,"150 E 57TH ST, LOS ANGELES, CA 900115306",11/30/83,Lost,6,1,5,0,33.9904521,-118.2720764
OCAW,TEXACO INC,"2101 E PACIFIC COAST HWY, WILMINGTON, CA 907442994",11/30/83,Lost,15,7,8,0,33.7948105,-118.2355908
UIU,UNITED FOAM CORP,"4542 DUNHAM ST, LOS ANGELES, CA 900234194",12/1/83,Lost,121,44,61,10,34.0122587,-118.1746185
OCAW,TEXACO INC,"23208 S ALAMEDA ST, CARSON, CA 908101998",12/1/83,Won,34,19,11,3,33.8132098,-118.2304819
HERE,"LOVE'S ENT., INC","6633 HOLLYWOOD BLVD, LOS ANGELES, CA 900286207",12/2/83,Lost,47,13,28,0,34.1017866,-118.3345182
UIU,ACEWOOD PRODUCTS INC,"119 E MAGNOLIA ST, COMPTON, CA 902202414",12/2/83,Won,13,8,5,0,33.8958492,-118.2200712
SIU,M.D.T. CORP,"15025 S MAIN ST, GARDENA, CA 902481922",12/6/83,Won,42,22,20,0,33.8954308,-118.2766897
SEIU,HELATH & MEDICAL CARE FOUNDATION,"215 W PEARL ST, POMONA, CA 917683114",12/6/83,Lost,75,20,27,4,34.0649312,-117.7527764
AFSCME,DELTA SIGMA THETA HEAD START,"3742 W MARTN LTHR KNG JR, LOS ANGELES, CA 900081768",12/9/83,Won,143,73,40,2,34.0126039,-118.3393399
IBT,"SOUTHWEST FOREST INDUSTRIES, INC","13833 FREEWAY DR, SANTA FE SPRINGS, CA 906705701",12/9/83,Lost,12,3,9,0,33.8893608,-118.0362668
LOCAL,"STAR-KIST FOODS, INC","582 TUNA ST, SAN PEDRO, CA 907317435",12/9/83,Won,25,17,1,0,33.7397532,-118.2690555
IAM,E.T.M. CORP,"144 W CHESTNUT AVE, MONROVIA, CA 910163412",12/16/83,Lost,47,13,23,7,34.1424175,-118.0024603
UFCW,LUMBER CITY,"13301 BURBANK BLVD, VAN NUYS, CA 914015322",12/16/83,Won,40,21,18,0,34.1720096,-118.4482231
SIU,"SHELBY CARROL INDUSTRIES, INC","19021 S FIGUEROA ST, GARDENA, CA 902484510",1/4/84,Won,184,104,61,17,33.8575172,-118.2824673
LOCAL,PRESTIGE STATIONS INC,"17215 STUDEBAKER RD, CERRITOS, CA 907032548",1/5/84,Lost,6,0,5,0,33.8746907,-118.1002889
SEIU,MOONEY CONVALESCENT HOSPITAL,"3541 PUENTE AVE, BALDWIN PARK, CA 917065534",1/20/84,Won,36,19,7,1,34.0777586,-117.9545447
HERE,"APPLE ""A"" PEEL","16161 SPRINGDALE ST, HUNTINGTON PARK, CA 926492756",1/22/84,Lost,28,4,14,1,33.7278168,-118.0247841
LOCAL,GLENDALE BUILDERS' SUPPLIES,"4415 SAN FERNANDO RD, GLENDALE, CA 912042294",1/24/84,Lost,4,0,4,0,34.1321312,-118.2626779
IBT,FALCON DISPOSAL SERVICE & REFUSE CENTER,"3031 E I ST, WILMINGTON, CA 907443048",1/27/84,Won,63,34,21,4,33.783825,-118.2255703
UBC,JOSEPH D. FILIPPINI,"11009 COZYCROFT AVE, CHATSWORTH, CA 913111650",1/30/84,Lost,2,0,2,0,34.2702975,-118.5817586
SEIU,GAY & LESBIAN COMMUNITY SERVICES CTR,"1213 N HIGHLAND AVE, LOS ANGELES, CA 900381206",1/31/84,Won,31,23,3,5,34.09288,-118.339034
IATSE,BREAKAWAY PRODUCTIONS,"5746 W SUNSET BLVD, LOS ANGELES, CA 900288502",2/2/84,Won,11,6,1,3,34.096756,-118.314883
LOCAL,"H.I. TULLIS CO, INC","2677 SIGNAL PKWY, SIGNAL HILL, CA 908062260",2/8/84,Lost,4,0,4,0,33.8057834,-118.161702
IAM,MCDONNELL DOUGLAS CORP,"700 ROYAL OAKS DR, MONROVIA, CA 910163629",2/15/84,Won,207,144,50,0,34.1432115,-117.9907566
UFCW,WILLIAM CUSTOM CURING,"3734 BROADWAY PL, LOS ANGELES, CA 900074427",2/21/84,Lost,5,1,3,1,34.0139148,-118.2754365
IBT,"C.M.C. PLASTIC BAG, INC","2615 PACIFIC PARK DR, WHITTIER, CA 906011612",2/22/84,Lost,38,16,19,0,34.0284996,-118.0406103
SIU,"MARITIME PAINTING & COATING, INC","15113 ILLINOIS AVE, PARAMOUNT, CA 907234106",2/23/84,Won,13,12,1,0,33.8960428,-118.1658313
AFSCME,VOLUNTEERS OF AMERICA,"1501 WILSHIRE BLVD, LOS ANGELES, CA 900172205",2/24/84,Won,34,23,9,2,34.0549861,-118.268445
IUOE,CADILLAC FAIRVIEW/CALIF. INC,"1800 AVENUE OF THE STARS, LOS ANGELES, CA 900674212",2/24/84,Won,2,2,0,0,34.0610319,-118.4173642
IBT,ABC CIRCLE FILMS,"9911 W PICO BLVD, LOS ANGELES, CA 900352703",3/1/84,Won,3,2,0,1,34.0534731,-118.4042078
UAW,AC-DELCO DIVISON OF GENERAL MOTORS,"14555 ALONDRA BLVD, LA MIRADA, CA 906385602",3/1/84,Lost,75,37,38,0,33.8894924,-118.0204956
IBT,TRANS AMERICA PLASTIC,"2630 PACIFIC PARK DR, WHITTIER, CA 906011611",3/2/84,Won,12,8,2,0,34.0278375,-118.0395583
BCTW,PACIFIC MULTI GRAIN BAKERY,"16932 VALLEY VIEW AVE, LA MIRADA, CA 906385826",3/2/84,Lost,38,5,29,1,33.8767439,-118.0272084
LOCAL,AUTOMOBILE CLUB,"2601 S FIGUEROA ST, LOS ANGELES, CA 900073254",3/6/84,Won,69,40,0,3,34.0280292,-118.2765911
UFCW,R B R MEAT CO,"1617 E 25TH ST, LOS ANGELES, CA 900111815",3/6/84,Lost,19,0,9,1,34.0148088,-118.2437539
UFCW,"RITE WAY MEAT PACKERS, INC","1617 E 25TH ST, LOS ANGELES, CA 900111899",3/6/84,Lost,30,0,20,1,34.0148088,-118.2437539
UFCW,ROSE & SHORE MEAT CO,"1617 E 25TH ST, LOS ANGELES, CA 900111899",3/6/84,Lost,7,0,6,1,34.0148088,-118.2437539
ILA,MARTIN CHAS. CORP,"825 MIRAFLORES, SAN PEDRO, CA 907311438",3/8/84,Won,11,8,2,1,33.7527716,-118.2954054
SEIU,EAST LOS ANGELES CONVALESCENT HOSPITAL,"101 S FICKETT ST, LOS ANGELES, CA 900334099",3/9/84,Lost,60,24,28,4,34.0424164,-118.2077275
HERE,ANTE'S RESTAURANT INC,"729 S PALOS VERDES ST, SAN PEDRO, CA 907313796",3/9/84,Lost,56,1,43,1,33.7373217,-118.2815303
SMW,U-BRAND CORP,"4050 E 26TH ST, LOS ANGELES, CA 900234601",3/13/84,Lost,4,0,4,0,34.0059296,-118.1910568
ILWU,TRANSPACIFIC TRANSPORTATION CO,"1 WILSHIRE BLVD, LOS ANGELES, CA 900173876",3/14/84,Lost,18,8,9,0,34.0500065,-118.2594502
SEIU,BIO-MEDICAL APPLICATIONS,"9330 SANTA MONICA BLVD, BEVERLY HILLS, CA 90210",3/15/84,Won,6,3,1,0,34.0754051,-118.3970229
UFCW,RALPHS GROCERY CO,"PO BOX 54143, LOS ANGELES, CA 900540143",3/16/84,Won,70,52,1,6,34.0522342,-118.2436849
USW,COAST IRON & STEEL CO,"12300 LAKELAND RD, SANTA FE SPRINGS, CA 906703869",3/19/84,Lost,25,4,15,3,33.9315626,-118.0704126
IBT,AMERICAN MERCHANDISING,"2840 S RESERVOIR ST, POMONA, CA 917666525",3/30/84,Lost,14,1,13,0,34.021728,-117.7305565
HERE,"VICTORIA STATION, INC","3850 LANKERSHIM BLVD, STUDIO CITY, CA 91604",3/31/84,Lost,138,49,62,7,34.1383867,-118.3625407
IBT,AMERICAN RED CROSS,"1130 S VERMONT AVE, LOS ANGELES, CA 900062763",4/4/84,Won,101,54,46,0,34.0502698,-118.291157
IBT,"AMERICAN RED CROSS, L.A. CHAPTER","1130 S VERMONT AVE, LOS ANGELES, CA 900062763",4/4/84,Lost,39,6,26,0,34.0502698,-118.291157
UAW,WILDERNESS EXPERIENCE,"20675 NORDHOFF ST, CHATSWORTH, CA 913116130",4/4/84,Lost,97,41,47,0,34.2359293,-118.5828984
HERE,ALPHY'S RESTAURANTS,"12505 NORWALK BLVD, NORWALK, CA 906502042",4/13/84,Lost,22,3,13,0,33.9194249,-118.0731461
HERE,ALPHY'S RESTURANTS,"632 REDONDO AVE, LONG BEACH, CA 908141453",4/13/84,Lost,20,0,16,0,33.7745525,-118.1521995
UFCW,SUPERIOR WAREHOUSE GROCERS,"7316 COMPTON AVE, LOS ANGELES, CA 900012532",4/18/84,Lost,8,0,6,0,33.9732275,-118.2471332
UFCW,BUILDER'S EMPORIUM,"1400 LINCOLN BLVD, VENICE, CA 902913516",4/18/84,Lost,40,13,19,3,33.9982116,-118.4605083
IBT,UTILITY TRAILER SALES CO.,"4073 S ALAMEDA ST, LOS ANGELES, CA 900581622",4/20/84,Won,16,15,1,0,34.008253,-118.2402216
SEIU,GARDENA CONVALESCENT CENTER,"14819 S VERMONT AVE, GARDENA, CA 902473097",4/25/84,Won,36,22,13,1,33.8969192,-118.2925872
HERE,CARL'S JR,"700 W 7TH ST, LOS ANGELES, CA 900173704",4/26/84,Won,28,16,12,0,34.0483595,-118.2587597
IBT,TRAK AUTO,"5790 PEACHTREE ST, LOS ANGELES, CA 900404000",4/27/84,Lost,48,9,32,7,33.9826438,-118.1593785
IBT,SMITH FOOD KING,"3831 E CENTURY BOULEVAR, LYNWOOD, CA 90262",4/27/84,Won,12,10,2,0,33.9467947,-118.2290904
IUOE,TRAVEL LODGE/VISCOUNT HOTEL,"9750 AIRPORT BLVD, LOS ANGELES, CA 900455404",5/1/84,Won,6,6,0,0,33.947892,-118.3850448
SDGA,"FINANCIAL NEWS NETWORK, INC","2525 OCEAN PARK BLVD, SANTA MONICA, CA 904055201",5/3/84,Lost,53,18,33,2,34.0176791,-118.4584259
LGPN,FRAGRANCE DEVELOPMENT CORP,"20245 SUNBURST ST, CHATSWORTH, CA 913116219",5/4/84,Lost,205,52,126,12,34.2351916,-118.5745227
USW,"VALVE SERVICES, INC","13060 FIRESTONE BLVD, SANTA FE SPRINGS, CA 906705516",5/11/84,Lost,21,2,18,0,33.896764,-118.0539654
IBT,ANGELUS FURNITURE,"3650 E OLYMPIC BLVD, LOS ANGELES, CA 900233195",5/12/84,Lost,43,14,25,3,34.0177967,-118.1988724
SEIU,PARK VISTA CONVALESCENT,"5125 MONTE VISTA ST, LOS ANGELES, CA 900423931",5/18/84,Lost,33,15,16,0,34.108512,-118.2018099
IBT,EL DORADO MANUFACTURING CO,"2655 S SANTA FE AVE, LOS ANGELES, CA 900581117",5/18/84,Won,39,19,18,0,34.013315,-118.230676
HERE,SAMBO'S RESTAURANT INC,"7954 IMPERIAL HWY, DOWNEY, CA 902423435",5/18/84,Lost,18,2,13,1,33.924209,-118.152831
IUE,CECILWARE CORP,"2551 FERNWOOD AVE, LYNWOOD, CA 902621744",5/18/84,Won,22,13,8,0,33.9324617,-118.2251591
IBEW,KBIG (BONNEVILLE INTERNATIONAL),"7755 W SUNSET BLVD, LOS ANGELES, CA 900463911",5/21/84,Lost,3,0,3,0,34.0982924,-118.3586589
SDGA,AMERICAN BROADCASTING CO,"4151 PROSPECT AVE, LOS ANGELES, CA 900274524",5/23/84,Won,3,2,0,0,34.103456,-118.2805679
IBT,LA OPINION,"1436 S MAIN ST, LOS ANGELES, CA 900154412",5/24/84,Lost,33,15,15,0,34.034316,-118.2616011
IBT,LA OPINION,"1436 S MAIN ST, LOS ANGELES, CA 900154412",5/24/84,Lost,11,1,10,0,34.034316,-118.2616011
LOCAL,LA OPINION,"1436 S MAIN ST, LOS ANGELES, CA 900154412",5/24/84,Lost,7,0,6,0,34.034316,-118.2616011
IUE,CECILWARE CORP,"2551 FERNWOOD AVE, LYNWOOD, CA 902621744",5/31/84,Won,3,2,1,0,33.9324617,-118.2251591
ICWU,WEST SANITATION SERVICES,"4425 BANDINI BLVD, LOS ANGELES, CA 900234709",6/1/84,Lost,11,4,6,0,34.0012484,-118.1805599
IBT,"CALIFORNIA SUPPLY, INC","491 E COMPTON BLVD, GARDENA, CA 902482078",6/1/84,Lost,16,4,12,0,33.8954966,-118.2681238
SMW,J & L SHEET METAL PRODUCTS,"15533 ILLINOIS AVE, PARAMOUNT, CA 907234110",6/1/84,Lost,9,4,5,0,33.8919173,-118.1657635
IBT,AMERICAN PHARMASEAL,"4401 FOXDALE ST, BALDWIN PARK, CA 917062196",6/1/84,Lost,627,131,446,1,34.0899051,-117.9372831
HERE,BEL AIR SANDS HOTEL,"11461 W SUNSET BLVD, LOS ANGELES, CA 900492031",6/5/84,Lost,113,21,64,0,34.0728029,-118.4686038
CWA,SELECTV,"4775 ALLA RD, MARINA DEL REY, CA 902926311",6/5/84,Lost,24,6,18,0,33.9830371,-118.4307309
UTSE,GRAYLINE TOUR CO,"555 S FLOWER ST, LOS ANGELES, CA 900712300",6/6/84,Lost,51,11,34,1,34.0512986,-118.2571374
IBT,VON'S GROCERY CO,"10150 LOWER AZUSA RD, EL MONTE, CA 917311117",6/7/84,Lost,3,1,2,0,34.087903,-118.046945
UFCW,STUTZMAN PLATING INC,"5017 EXPOSITION BLVD, LOS ANGELES, CA 900163913",6/8/84,Won,58,35,18,4,34.024959,-118.3527674
IBT,ALLIED AVIATION SERVICE CO,"6501 W 96TH ST, LOS ANGELES, CA 900455216",6/14/84,Won,57,41,8,2,33.9498867,-118.3777504
GCIU,CORROGUTED PARTITION,"15600 RESIN PL, SANTA FE SPRINGS, CA 906705627",6/15/84,Lost,14,1,13,0,33.8887592,-118.0448543
TWIU,LA MISSION FOODS CORP,"7920 DEERING AVE, CANOGA PARK, CA 913045007",6/15/84,Lost,305,116,120,0,34.2143494,-118.5942406
IBT,"BEST BREAD CO., INC.","4702 E 50TH ST, LOS ANGELES, CA 900582708",6/16/84,Won,33,17,5,7,33.9960949,-118.1934016
IBT,NATIONAL CAR RENTAL,"PO BOX 91256, LOS ANGELES, CA 900091256",6/21/84,Lost,29,4,25,0,34.0522342,-118.2436849
UBC,"RITE-KUT TOOL MANUFACTURING CO, INC","6513 S BROADWAY, LOS ANGELES, CA 900031894",6/22/84,Lost,9,0,9,0,33.9802356,-118.2785868
UFCW,"DALES JUNIOR STORES, INC","8523 LANKERSHIM BLVD, SUN VALLEY, CA 913523127",6/26/84,Won,45,23,19,1,34.2245611,-118.3881489
UBC,"ALEXANDER TOOL/L.A. SAW CO, INC","3229 DURFEE AVE, EL MONTE, CA 917323217",6/26/84,Lost,8,2,6,0,34.0623822,-118.0126551
LOCAL,SAN FERNANDO COMMUNITY HOSPITAL,"732 MOTT ST, SAN FERNANDO, CA 913404212",6/27/84,Won,32,16,13,0,34.2766009,-118.4445856
SMW,"FERRY HEATING & AIR CONDITION, INC","1490 W 2ND ST, POMONA, CA 917661201",6/28/84,Won,3,2,1,0,34.0565839,-117.7718329
IBT,"V & W CASTINGS, INC","6032 SHULL ST, BELL GARDENS, CA 902016237",6/29/84,Won,146,71,66,3,33.9535416,-118.1589872
IBT,"HONEYVILE GRAIN, INC.","6416 FLOTILLA ST, LOS ANGELES, CA 900401712",7/5/84,Won,24,15,6,2,34.0061831,-118.136132
IBT,"WEB SERVICE CO, INC","3690 FREEMAN BLVD, REDONDO BEACH, CA 902781165",7/5/84,Lost,24,10,13,0,33.8491816,-118.3884078
UBC,"KESSLER, INC","5658 COLFAX AVE, NORTH HOLLYWOOD, CA 916011724",7/5/84,Lost,2,0,2,0,34.1738073,-118.3875406
TWIU,PETER PAN,"5430 SATSUMA AVE, NORTH HOLLYWOOD, CA 916012837",7/5/84,Lost,14,4,10,0,34.1695356,-118.3671504
GCIU,"AVERY LABEL, AN AVERY INTL CO","777 E FOOTHILL BLVD, AZUSA, CA 917022606",7/18/84,Won,114,60,24,4,34.1341702,-117.9158379
PAT,"CHUCK HAMMOND & ASSOCIATES, INC","15421 CARMENITA RD, SANTA FE SPRINGS, CA 906705651",7/20/84,Lost,2,0,2,0,33.8902351,-118.0475624
IBT,CATV-COMPTON CABLE,"2204 LONG BEACH BLVD, LONG BEACH, CA 908064417",7/20/84,Won,10,7,3,0,33.7973798,-118.1889993
PAT,NORTH HOLLYWOOD GLASS & PLASTIC CO,"11050 CHANDLER BLVD, NORTH HOLLYWOOD, CA 916013226",7/20/84,Won,4,4,0,0,34.1686816,-118.368155
LOCAL,"ARMORED TRANSPORT, INC","1612 W PICO BLVD, LOS ANGELES, CA 900152472",7/27/84,Won,200,155,4,0,34.0445202,-118.2776032
UFCW,"FIRESIDE MARKET, INC","1425 MONTANA AVE, SANTA MONICA, CA 904031795",7/27/84,Won,33,17,12,3,34.0329471,-118.4947929
IBEW,KING VIDEOCABLE CO,"10000 COMMERCE AVE, TUJUNGA, CA 910422304",7/27/84,Won,13,9,3,0,34.250534,-118.2884281
SMW,"TELLKAMP SYSTEMS, INC","15520 CORNET ST, SANTA FE SPRINGS, CA 906705575",8/3/84,Lost,9,0,9,0,33.8893447,-118.0485686
BSOIW,"A-PLUS STEEL FABRICATORS, INC","15351 TEXACO AVE, PARAMOUNT, CA 907233946",8/3/84,Lost,6,0,6,0,33.8931821,-118.1722876
LOCAL,THE CLAREMONT UNIVERSITY CENTER,"150 EAST ST, CLAREMONT, CA 91711",8/9/84,Won,44,26,0,1,34.103596,-117.7119176
UBC,PACIFIC CARBIDE SAW CO,"7420 GARFIELD AVE, BELL GARDENS, CA 902014816",8/17/84,Lost,4,0,4,0,33.9638716,-118.1521403
OCAW,PACIFIC OASIS,"14708 DOWNEY AVE, PARAMOUNT, CA 907234526",8/17/84,Lost,81,6,67,4,33.9029235,-118.1523361
OPCM,NAZAROFF CONSTRUCTION CORP,"8249 STEWART AND GRAY RD, DOWNEY, CA 902415168",8/20/84,Lost,4,0,3,0,33.9328947,-118.1397015
IBT,ALLIED AVIATION SERVICE CO,"6501 W 96TH ST, LOS ANGELES, CA 900455216",8/23/84,Won,55,30,12,0,33.9498867,-118.3777504
HERE,SHERATON PLAZA LA REINA HOTEL,"6101 W CENTURY BLVD, LOS ANGELES, CA 900455308",8/29/84,Lost,538,58,377,8,33.9464489,-118.3907235
UFCW,"PREMIER MARKET, INC","425 N CANON DR, BEVERLY HILLS, CA 902104819",8/29/84,Lost,10,4,6,0,34.0709011,-118.4015684
ILWU,UNIVERSAL PILLOW CO,"5500 S SOTO ST, LOS ANGELES, CA 900583623",8/30/84,Lost,84,22,44,11,33.9923822,-118.2185679
UAW,SUPERIOR INDUSTRIES INTERNATIONAL INC.,"7800 WOODLEY AVE, VAN NUYS, CA 914061788",8/30/84,Won,1011,478,410,66,34.2112746,-118.4816518
SMW,M.G.F. INDUSTRIES,"6440 CANNING ST, LOS ANGELES, CA 900403177",8/31/84,Lost,74,17,47,0,33.9850183,-118.1432631
UAW,SAN FERNANDO VALLEY NEIGHBORHOOD LEGAL,"13327 VAN NUYS BLVD, PACOIMA, CA 913313006",9/4/84,Won,24,19,2,3,34.2652473,-118.4237492
IBT,A & A BUILDING MATERIAL CO,"310 N SANTA ANITA AVE, ARCADIA, CA 910062841",9/5/84,Won,8,4,1,2,34.1436936,-118.0307534
SEIU,CREATIVE LAMINATING,"15421 SHOEMAKER AVE, NORWALK, CA 906506860",9/6/84,Won,14,8,5,1,33.891267,-118.0559037
SIU,FLASK CHEMICAL CORP,"11642 MONA BLVD, LYNWOOD, CA 902624011",9/7/84,Lost,8,3,5,0,33.9277866,-118.2294539
UFCW,FRANK'S MARKET,"250 N LA BREA AVE, INGLEWOOD, CA 903011215",9/7/84,Lost,36,7,21,5,33.966965,-118.35287
LOCAL,DATAPRODUCTS CORP,"9657 MASON AVE, CHATSWORTH, CA 913115207",9/14/84,Lost,84,37,42,0,34.2457323,-118.5807101
CWA,CARSON CABLE TV,"20930 BONITA ST, CARSON, CA 907463680",9/19/84,Won,17,9,5,2,33.8394416,-118.2588164
ILA,PACIFIC SMELTING CO,"22219 S WESTERN AVE, TORRANCE, CA 905014106",9/20/84,Won,77,54,8,0,33.8256983,-118.3090437
IBT,"PEP BOYS, INC","2640 E 45TH ST, LOS ANGELES, CA 900582202",9/28/84,Lost,79,19,57,1,34.0027725,-118.2405791
IBT,"HASA CHEMICAL, INC","23119 DRAYTON ST, SANTA CLARITA, CA 913502599",10/2/84,Lost,97,16,57,4,34.4120941,-118.5399146
